start_date,end_date,duration_days,type,impact_level,notes
2018-12-22,2019-01-25,35,partial,high,35-day partial shutdown; FAA and TSA affected but deemed essential
2025-10-01,2025-11-12,43,full,high,43-day shutdown - longest in US history
